Id,Airline,Confirmed,CreationDate,Date,Destination,FlightNumber,Scheduled,Type
937,Icelandair,16:54,2021-07-24,2021-07-01,Portland,FI665,16:50,Departure
938,Icelandair,17:46,2021-07-24,2021-07-01,Denver,FI671,16:55,Departure
939,Icelandair,17:04,2021-07-24,2021-07-01,New York Newark,FI623,17:00,Departure
940,Icelandair,17:33,2021-07-24,2021-07-01,New York JFK,FI615,17:00,Departure
941,Icelandair,17:21,2021-07-24,2021-07-01,Seattle,FI681,17:05,Departure
942,Vueling,17:01,2021-07-24,2021-07-01,Barcelona,VY8561,17:10,Departure
943,Icelandair,17:54,2021-07-24,2021-07-01,Boston,FI631,17:15,Departure
944,Icelandair,17:51,2021-07-24,2021-07-01,Seattle,FI683,17:50,Departure
945,Wizz Air,18:32,2021-07-24,2021-07-01,Wroclaw,W61898,18:50,Departure
946,Norwegian,20:31,2021-07-24,2021-07-01,Osló,DY1171,19:05,Departure
947,Wizz Air,20:22,2021-07-24,2021-07-01,Gdansk,W61774,20:30,Departure
948,Wizz Air,23:56,2021-07-24,2021-06-30,Varsjá,W61540,00:10,Departure
949,Icelandair,07:21,2021-07-24,2021-06-30,Munchen,FI532,07:20,Departure
950,Icelandair,07:17,2021-07-24,2021-06-30,Zurich,FI568,07:20,Departure
951,Icelandair,07:34,2021-07-24,2021-06-30,Stokkhólmur,FI306,07:35,Departure
952,Icelandair,07:50,2021-07-24,2021-06-30,Berlin Brandenburg,FI528,07:40,Departure
953,Icelandair,07:43,2021-07-24,2021-06-30,Amsterdam,FI500,07:40,Departure
954,Icelandair,07:38,2021-07-24,2021-06-30,París CDG,FI542,07:40,Departure
955,Icelandair,07:52,2021-07-24,2021-06-30,London Heathrow,FI450,07:40,Departure
956,Icelandair,07:40,2021-07-24,2021-06-30,Kaupmannahöfn,FI204,07:45,Departure
957,Neos,08:20,2021-07-24,2021-06-30,Tenerife South,NO3924,08:20,Departure
958,Icelandair,08:31,2021-07-24,2021-06-30,Tenerife South,FI580,08:40,Departure
959,Delta,09:29,2021-07-24,2021-06-30,Minneapolis St Paul,DL261,09:30,Departure
960,SAS,10:23,2021-07-24,2021-06-30,Kaupmannahöfn,SK596,10:30,Departure
961,Delta,11:01,2021-07-24,2021-06-30,New York JFK,DL247,11:15,Departure
962,United Airlines,11:19,2021-07-24,2021-06-30,New York Newark,UA967,11:20,Departure
963,Icelandair,17:05,2021-07-24,2021-06-30,Chicago,FI853,16:45,Departure
964,Icelandair,16:59,2021-07-24,2021-06-30,Minneapolis St Paul,FI657,16:45,Departure
965,Icelandair,16:47,2021-07-24,2021-06-30,Washington Dulles,FI645,16:50,Departure
966,Icelandair,16:56,2021-07-24,2021-06-30,Denver,FI671,16:55,Departure
967,Icelandair,17:01,2021-07-24,2021-06-30,New York Newark,FI623,17:00,Departure
968,Icelandair,17:03,2021-07-24,2021-06-30,New York JFK,FI615,17:00,Departure
969,Icelandair,17:17,2021-07-24,2021-06-30,Seattle,FI681,17:05,Departure
970,Icelandair,17:16,2021-07-24,2021-06-30,Boston,FI631,17:15,Departure
971,Lufthansa,00:16,2021-07-24,2021-06-29,Frankfurt,LH869,00:25,Departure
972,Icelandair,07:28,2021-07-24,2021-06-29,Munchen,FI532,07:20,Departure
973,Icelandair,07:23,2021-07-24,2021-06-29,Zurich,FI568,07:20,Departure
974,Icelandair,07:25,2021-07-24,2021-06-29,Frankfurt,FI520,07:25,Departure
975,Icelandair,07:31,2021-07-24,2021-06-29,Helsinki,FI342,07:30,Departure
