,CreationDate,Date,Type,Scheduled,Destination,FlightNumber,Airline,Confirmed
9256,2021-09-05,2022-03-11,Departure,07:35,Stokkhólmur,FI306,Icelandair,Á áætlun
9257,2021-09-05,2022-03-11,Departure,07:35,Glasgow,FI430,Icelandair,Á áætlun
9258,2021-09-05,2022-03-11,Departure,07:40,London Heathrow,FI450,Icelandair,Á áætlun
9259,2021-09-05,2022-03-11,Departure,07:40,Amsterdam,FI500,Icelandair,Á áætlun
9260,2021-09-05,2022-03-11,Departure,07:40,Hamborg,FI510,Icelandair,Á áætlun
9261,2021-09-05,2022-03-11,Departure,07:40,Brussel,FI554,Icelandair,Á áætlun
9262,2021-09-05,2022-03-11,Departure,07:40,Berlin Brandenburg,FI528,Icelandair,Á áætlun
9263,2021-09-05,2022-03-11,Departure,07:45,Kaupmannahöfn,FI204,Icelandair,Á áætlun
9264,2021-09-05,2022-03-11,Departure,07:45,London Gatwick,FI470,Icelandair,Á áætlun
9265,2021-09-05,2022-03-11,Departure,07:45,París CDG,FI544,Icelandair,Á áætlun
9266,2021-09-05,2022-03-11,Departure,07:45,Dublin,FI416,Icelandair,Á áætlun
9267,2021-09-05,2022-03-11,Departure,07:50,Osló,FI318,Icelandair,Á áætlun
9268,2021-09-05,2022-03-11,Departure,08:00,Manchester,FI440,Icelandair,Á áætlun
9269,2021-09-05,2022-03-11,Departure,08:00,Kaupmannahöfn,FI206,Icelandair,Á áætlun
9270,2021-09-05,2022-03-11,Departure,10:35,Mílanó,W65566,Wizz Air,Á áætlun
9271,2021-09-05,2022-03-11,Departure,11:10,Amsterdam,HV6888,Transavia,Á áætlun
9272,2021-09-05,2022-03-11,Departure,11:20,Kaupmannahöfn,SK596,SAS,Á áætlun
9273,2021-09-05,2022-03-11,Departure,11:25,Vagar,RC402,Atlantic Airways,Á áætlun
9274,2021-09-05,2022-03-11,Departure,12:20,London Gatwick,EZY8504,EasyJet,Á áætlun
9275,2021-09-05,2022-03-11,Departure,12:25,London Heathrow,BA895,British Airways,Á áætlun
9276,2021-09-05,2022-03-11,Departure,12:45,Osló,SK4788,SAS,Á áætlun
9277,2021-09-05,2022-03-11,Departure,14:00,Kaupmannahöfn,FI212,Icelandair,Á áætlun
9278,2021-09-05,2022-03-11,Departure,15:30,París CDG,OG404,Play,Á áætlun
9279,2021-09-05,2022-03-11,Departure,16:00,Kaupmannahöfn,OG904,Play,Á áætlun
9280,2021-09-05,2022-03-11,Departure,16:10,Kaupmannahöfn,FI216,Icelandair,Á áætlun
9281,2021-09-05,2022-03-11,Departure,16:20,London Heathrow,FI454,Icelandair,Á áætlun
9282,2021-09-05,2022-03-11,Departure,16:45,Riga,BT170,Air Baltic,Á áætlun
9283,2021-09-05,2022-03-11,Departure,16:45,Minneapolis St Paul,FI657,Icelandair,Á áætlun
9284,2021-09-05,2022-03-11,Departure,16:45,Chicago,FI853,Icelandair,Á áætlun
9285,2021-09-05,2022-03-11,Departure,16:50,Washington Dulles,FI645,Icelandair,Á áætlun
9286,2021-09-05,2022-03-11,Departure,16:55,Denver,FI671,Icelandair,Á áætlun
9287,2021-09-05,2022-03-11,Departure,17:00,New York JFK,FI615,Icelandair,Á áætlun
9288,2021-09-05,2022-03-11,Departure,17:00,New York Newark,FI623,Icelandair,Á áætlun
9289,2021-09-05,2022-03-11,Departure,17:05,Seattle,FI681,Icelandair,Á áætlun
9290,2021-09-05,2022-03-11,Departure,17:05,Toronto,FI603,Icelandair,Á áætlun
9291,2021-09-05,2022-03-11,Departure,17:15,Boston,FI631,Icelandair,Á áætlun
9292,2021-09-05,2022-03-11,Departure,17:15,Orlando,FI689,Icelandair,Á áætlun
9293,2021-09-05,2022-03-11,Departure,18:50,Kraká,W65054,Wizz Air,Á áætlun
9294,2021-09-05,2022-03-11,Departure,19:00,London Gatwick,EZY8506,EasyJet,Á áætlun
9295,2021-09-05,2022-03-11,Departure,19:30,London Luton,EZY2298,EasyJet,Á áætlun
9296,2021-09-05,2022-03-11,Departure,20:25,Vilnius,W68090,Wizz Air,Á áætlun
9297,2021-09-05,2022-03-11,Departure,22:05,Gdansk,W61774,Wizz Air,Á áætlun
9298,2021-09-05,2022-03-12,Departure,01:10,Varsjá,W61540,Wizz Air,Á áætlun
9299,2021-09-05,2022-03-12,Departure,07:20,Munchen,FI532,Icelandair,Á áætlun
9300,2021-09-05,2022-03-12,Departure,07:20,Zurich,FI568,Icelandair,Á áætlun
